"ClientAccountID","AccountAlias","Model","CurrencyPrimary","FXRateToBase","AssetClass","SubCategory","Symbol","Description","Conid","SecurityID","SecurityIDType","CUSIP","ISIN","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","Multiplier","Strike","Expiry","Put/Call","PrincipalAdjustFactor","ReportDate","Quantity","MarkPrice","PositionValue","OpenPrice","CostBasisPrice","CostBasisMoney","PercentOfNAV","FifoPnlUnrealized","Side","LevelOfDetail","OpenDateTime","HoldingPeriodDateTime","VestingDate","Code","OriginatingOrderID","OriginatingTransactionID","AccruedInterest","SerialNumber","DeliveryType","CommodityType","Fineness","Weight"
"U16084474","","","EUR","1","STK","COMMON","HEIA","HEINEKEN NV","29622888","NL0000009165","ISIN","","NL0000009165","BBG000BW4R84","AEB","","HEIA","","","","NL","1","","","","","20250325","500","74.86","37430","77.495","77.495","38747.5","17.92","-1317.5","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","EUR","1","STK","COMMON","MC","LVMH MOET HENNESSY LOUIS VUI","29612150","FR0000121014","ISIN","","FR0000121014","BBG000BC7Q05","SBF","","MC","","","","FR","1","","","","","20250325","120","598.3","71796","655.559","655.559","78667.08","34.37","-6871.08","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","STK","COMMON","AMZN","AMAZON.COM INC","3691937","US0231351067","ISIN","023135106","US0231351067","BBG000BVPV84","NASDAQ","","AMZN","","","","US","1","","","","","20250325","100","205.71","20571","199.06810653","199.06810653","19906.810653","9.13","664.189347","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","STK","COMMON","CNR","CORE NATURAL RESOURCES INC","752731994","US2189371006","ISIN","218937100","US2189371006","BBG00HC114X0","NYSE","","CNR","","","","US","1","","","","","20250325","400","76.25","30500","72.79715556","72.79715556","29118.862224","13.53","1381.137776","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","STK","COMMON","HHH","HOWARD HUGHES HOLDINGS INC","647324601","US44267T1025","ISIN","44267T102","US44267T1025","BBG01HTMDZ54","NYSE","","HHH","","","","US","1","","","","","20250325","100","75.71","7571","71.19968604","71.19968604","7119.968604","3.36","451.031396","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","STK","COMMON","INTC","INTEL CORP","270639","US4581401001","ISIN","458140100","US4581401001","BBG000C0G1D1","NASDAQ","","INTC","","","","US","1","","","","","20250325","500","24.2","12100","21.374867346","21.374867346","10687.433673","5.37","1412.566327","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","STK","ADR","NVO","NOVO-NORDISK A/S-SPONS ADR","10611","US6701002056","ISIN","670100205","US6701002056","BBG000BQBKR3","NYSE","","NVO","","","","DK","1","","","","","20250325","500","73.6","36800","81.497008578","81.497008578","40748.504289","16.33","-3948.504289","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","FOP","P","E3DJ5 P5670","ES 17APR25 5670 P","769614950","","","","","BBG01SX8MT87","CME","620731015","ESM5","","CME","","","50","5670","20250417","P","","20250325","3","40.5","6075","113.0284","113.0284","16954.26","100.00","-10879.26","Long","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","EUR","1","OPT","P","4HE P@74 MAR25","HEIA 28MAR25 74 P","766926245","","","","","BBG01SQGGTG5","FTA","29622888","HEIA","NL0000009165","AEB","","","100","74","20250328","P","","20250325","-2","0.28","-56","0.285","0.285","-57","0.82","1","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","EUR","1","OPT","P","LF1 APR25 57 P","SOI 17APR25 57 P","759935494","","","","","BBG01S64MZN5","MONEP","261734723","SOI","FR0013227113","SBF","","","100","57","20250417","P","","20250325","-1","3.43","-343","3.535","3.535","-353.5","5.00","10.5","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","OPT","P","BRKB  250328P00515000","BRK B 28MAR25 515 P","759604421","","","","","BBG01S5FQ5Z0","CBOE","72063691","BRK B","US0846707026","NYSE","","","100","515","20250328","P","","20250325","-1","0.31","-31","1.70935778","1.70935778","-170.935778","0.42","139.935778","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","OPT","P","GOOGL 250328P00157500","GOOGL 28MAR25 157.5 P","767306002","","","","","BBG01SR9GCB2","CBOE","208813719","GOOGL","US02079K3059","NASDAQ","","","100","157.5","20250328","P","","20250325","-1","0.045","-4.5","0.76538392","0.76538392","-76.538392","0.06","72.038392","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","OPT","P","MSFT  250328P00375000","MSFT 28MAR25 375 P","759686375","","","","","BBG01S5SGJK9","CBOE","272093","MSFT","US5949181045","NASDAQ","","","100","375","20250328","P","","20250325","-1","0.115","-11.5","1.36946724","1.36946724","-136.946724","0.16","125.446724","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","OPT","P","NVO   250328P00073000","NVO 28MAR25 73 P","761064963","","","","","BBG01S92P8J8","CBOE","10611","NVO","US6701002056","NYSE","","","100","73","20250328","P","","20250325","-2","0.9","-180","0.39539448","0.39539448","-79.078896","2.43","-100.921104","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","OPT","P","VET   250620P00010000","VET 20JUN25 10 P","736192053","","","","","BBG01QD1S9Q6","CBOE","78642228","VET","CA9237251058","NYSE","","","100","10","20250620","P","","20250325","-24","1.8706","-4489.44","1.20288624","1.20288624","-2886.926976","60.69","-1602.513024","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","FUT","","MESM5","MES 20JUN25","691171673","","","","","BBG01LX7ZWS1","CME","362673777","MES","","","","","5","","20250620","","","20250325","-6","5826.5","-174795","5694.292666667","5694.292666667","-170828.78","","-3966.22","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
"U16084474","","","USD","0.92663","FOP","P","E3DJ5 P5480","ES 17APR25 5480 P","769615430","","","","","BBG01SX8MSP0","CME","620731015","ESM5","","CME","","","50","5480","20250417","P","","20250325","-3","15","-2250","54.4716","54.4716","-8170.74","30.42","5920.74","Short","SUMMARY","","","","","","","","","","","0.0","0.0"
